Type,Fatal Crash Number,Number of Fatalities,Case Number,Location,Area,Date,Month,Day,Hour,Time,Related,Killed driver pass,Speeding,Ran Red Light or Stop Sign,DL Status incident,Suspected Impairment,Restraint type,Type of road,Failure to stop and render aid,X coord,Y coord,Homeless
Pedestrian,1,1,19-0150158,10500 N IH 35 SB,ED,January 15 2019,Jan,Tue,6,06:19,18 wheeler/ped,n/a,false,false,ok,ped,n/a,IH35,false,-97.681335,30.368955,false
Motor Vehicle,2,1,19-0161105,W William Cannon Dr / Ridge Oak Rd,DA,January 16 2019,Jan,Wed,15,15:42,MV/MV,driver,false,true,ok,none,seatbelts worn,Local Street,false,-97.861421,30.228131,false
Pedestrian,3,1,19-0081623,3600 Block S Capital of Texas HWY SB,DA,January 08 2019,Jan,Tue,21,21:37,MV/ped,n/a,false,false,no dl,none,n/a,Other Highway,false,-97.801933,30.243596,true
Pedestrian,4,1,19-0260086,6900 N IH 35 SB,ID,January 26 2019,Jan,Sat,1,01:03,mv/ped,n/a,false,false,ok,ped,n/a,IH35,false,-97.705467,30.330291,true
Pedestrian,5,1,19-0320079,N IH 35 SVRD SB / E 6th St,GE,February 01 2019,Feb,Fri,0,00:52,MV/ped,n/a,false,false,ok,ped,No helmet - scooter,Local Street,false,-97.735003,30.265881,false
Motorcycle,6,1,19-0370320,1000 W Oltorf,DA,February 06 2019,Feb,Wed,7,07:01,MV/MC,driver,false,false,ok,none,helmet worn,Local Street,false,-97.76508,30.244264,false
Motor vehicle,7,1,19-0400694,6000 Block Springdale Rd,ID,February 09 2019,Feb,Sat,12,Dec-48,MV/FO,passenger,true,false,suspended,none,seatbelts worn,local street,false,-97.671406,30.30356,false
pedestrian,8,1,19-0521569,8140 N Lamar Blvd SB,ED,February 21 2019,Feb,Thu,20,20:30,MV/Ped,n/a,,false,unk,none,n/a,high use road,true,-97.709464,30.350741,true
pedestrian,9,1,19-0521894,7300 E Riverside Dr,HE,February 21 2019,Feb,Thu,23,23:57,MV/ped,n/a,false,false,ok,ped,n/a,high use road,false,-97.694243,30.220619,false
Motor vehicle,10,1,19-0581824,Springdale / E 7th St,CH,February 27 2019,Feb,Wed,22,22:25,MV/MV,driver,true,true,suspended,driver,n/a,Local Street,false,-97.701673,30.256036,false
bicycle,11,1,19-0871796,1300 E Martin Luther King Jr Blvd,Ch,March 28 2019,Mar,Thu,22,22:11,MV/BI,n/a,false,false,ok,bicyclist,No helmet,high use road,false,-97.728487,30.278568,false
pedestrian,12,1,19-0881844,7300 S Congress Ave,Fr,March 29 2019,Mar,Fri,20,20:18,MV/ped,n/a,false,false,suspended,ped,n/a,high use road,false,-97.781001,30.186518,true
pedestrian,13,1,19-0761827,30 blk N IH 35 NB,Ch,March 17 2019,Mar,Sun,21,21:31,MV/ped,n/a,false,false,no dl,none,n/a,IH35,false,-97.737028,30.257497,true
Motor Vehicle,14,1,19-0800389,2300 Teri Ln,Fr,March 21 2019,Mar,Thu,7,07:40,mv/mv,passenger,false,false,no DL,unknown,unk,Local Street,true,-97.747309,30.198738,false
