Intersection Name,25 as bar,30 as bar,35 as bar
1ST ST / DITTMAR RD,122043,72611,33914
35TH ST / EXPOSITION BLVD,214986,110456,46870
38TH ST / MEDICAL PKWY,65249,28575,5369
5TH ST / RED RIVER ST,4969,3026,2342
6TH ST / RED RIVER ST,53076,40850,29907
AIRPORT BLVD / 51ST ST,138849,55172,22727
AIRPORT BLVD / GOODWIN AVE,180903,153733,104005
AIRPORT BLVD / IH 35 SVRD,19134,5729,2967
ANDERSON LN / SHOAL CREEK BLVD,140547,51370,17393
BRAKER LN / MOPAC EXPY SVRD,59619,17519,8597
BRODIE LN / CONVICT HILL RD,123864,117018,95056
BURNET RD / RICHCREEK RD,527877,416151,232010
CAPITAL OF TEXAS HWY / ,347390,327394,312903
CAPITAL OF TEXAS HWY / COURTYARD DR,231091,196977,150019
CAPITAL OF TEXAS HWY / GREAT HILLS TRL,513642,485163,376466
CAPITAL OF TEXAS HWY / MOPAC EXPY SVRD,265988,213635,168202
CAPITAL OF TEXAS HWY / PASCAL LN,459386,436691,422934
CAPITAL OF TEXAS HWY / WALSH TARLTON LN,288681,207477,146215
CAPITAL OF TEXAS HWY / WEST GATE BLVD,242454,225712,205253
CAPITAL OF TEXAS HWY / WESTLAKE DR,461671,392620,342189
CONGRESS AVE / OLTORF ST,101338,36151,14348
CONGRESS AVE / RIVERSIDE DR,721373,432553,304103
DAVIS LN / COPANO DR,64696,56094,34517
DESSAU RD / DUNGAN LN,3133,2486,1813
ENFIELD RD / EXPOSITION BLVD,15284,7046,3767
EXPOSITION BLVD / WESTOVER RD,15176,11536,8945
EXPOSITION BLVD / WINDSOR RD,152751,64732,26956
FAR WEST BLVD / MOPAC EXPY SVRD,16,10,7
FAR WEST BLVD / VILLAGE CENTER DR,467706,337272,150986
FAR WEST BLVD / WOOD HOLLOW DR,519627,288460,113416
FM 2222 RD / CITY PARK RD,422309,413446,393250
FM 620 RD / ANDERSON MILL RD,13322,4836,2492
FM 620 RD / DEERBROOK TRL,670418,619291,430505
FM 620 RD / FM 2222 RD,28243,9214,4782
GROVE BLVD / RIVERSIDE DR,400663,335398,223286
HARRIS BRANCH PKWY / PARMER LN,154945,69642,27329
IH 35 SVRD / HOLLY ST,260502,190658,136446
IH 35 SVRD / N IH 35 SVRD SB AT 41ST TRN,400559,309050,272128
LAKELINE MALL DR / NORTH LAKE CREEK PKWY,93833,44027,26184
LAMAR BLVD / PARMER LN,56269,16636,4260
LAMAR BLVD / PAYTON GIN RD,181040,104746,51855
LAMAR BLVD / RUNDBERG LN,21953,7475,3401
MANCHACA RD / REDD ST,25491,16078,8880
MANOR RD / 51ST ST,7555,2373,1179
MARTIN LUTHER KING JR BLVD / RED RIVER ST,36401,11062,7771
MARTIN LUTHER KING JR BLVD / SAN JACINTO BLVD,132,81,44
MC KINNEY FALLS PKWY / WILLIAM CANNON DR,207788,132565,88463
MENCHACA RD / REDD ST,40392,20828,5962
OLTORF ST / 1ST ST,4670,3587,2869
OLTORF ST / 4TH ST,884,689,555
OLTORF ST / PARKER LN,83287,15624,5652
PARMER LN / ,451364,233603,107446
PARMER LN / LAMPLIGHT VILLAGE AVE,460508,433740,400799
PLEASANT VALLEY RD / ELMONT DR,386072,244387,104816
PLEASANT VALLEY RD / RIVERSIDE DR,29094,6724,2089
QUINLAN PARK RD / STEINER RANCH BLVD,16024,5738,1381
RIVERSIDE DR / BURTON DR,238406,144664,75528
RIVERSIDE DR / CROSSING PL,475626,374141,185977
SH 71 / COVERED BRIDGE DR,95904,89224,82075
SLAUGHTER LN / ,291953,186074,90189
SLAUGHTER LN / LINDSHIRE LN,376500,244208,48507
SOUTHWEST PKWY / ,157129,155233,153904
SOUTHWEST PKWY / TERRAVISTA DR,80696,74240,53525
SPICEWOOD SPRINGS RD / WOOD HOLLOW DR,12967,5050,2884
STECK AVE / MOPAC EXPY SVRD,104905,48558,22853
US 183 HWY / BURLESON RD,407514,233417,103348
US 290 HWY / WILLIAM CANNON DR,75702,42888,28320
WEST GATE BLVD / JONES RD,165772,65252,18567
