Type,# Fat,Date,Month,Day,Hour,Time,x,y,Year
Motorcycle,2,2013-01-01,1,2,18,18:50:00,-97.68788,30.269347,2013
Motor Vehicle,1,2013-01-03,1,4,4,04:10:00,-97.803716,30.12022,2013
Motor Vehicle,1,2013-01-08,1,2,7,07:30:00,-97.687103,30.267664,2013
Motor Vehicle,1,2013-01-15,1,2,11,11:31:00,-97.791976,30.151241,2013
Motor Vehicle,1,2013-01-18,1,5,15,15:28:00,-97.681544,30.315898,2013
Motorcycle,1,2013-01-19,1,6,17,17:08:00,-97.695888,30.415821,2013
Motor Vehicle,1,2013-01-10,1,4,4,04:03:00,-97.700756,30.351081,2013
Motor Vehicle,1,2013-01-30,1,3,0,00:28:00,-97.642155,30.406236,2013
Pedestrian,1,2013-02-02,2,6,20,20:52:00,-97.77159,30.223113,2013
Pedestrian,1,2013-02-06,2,3,20,20:10:10,-97.75633,30.318529,2013
Motor Vehicle,1,2013-02-12,2,2,10,10:58:00,-97.769631,30.341323,2013
Pedestrian,1,2013-02-17,2,7,23,23:12:00,-97.700601,30.339498,2013
Motor Vehicle,1,2013-02-19,2,2,14,14:57:00,-97.735461,30.430413,2013
Motor Vehicle,1,2013-02-21,2,4,23,23:37:00,-97.826771,30.160693,2013
Pedestrian,1,2013-02-22,2,5,3,03:50:00,-97.776605,30.182147,2013
Motor Vehicle,1,2013-03-04,3,1,7,07:29:00,-97.588595,30.350896,2013
Pedestrian,1,2013-03-08,3,5,2,02:20:00,-97.718699,30.235657,2013
Motorcycle,1,2013-03-13,3,3,7,07:45:00,-97.621598,30.208385,2013
Pedestrian,1,2013-03-13,3,3,14,14:30:00,-97.72461,30.257132,2013
Motorcycle,1,2013-03-17,3,7,14,14:20:00,-97.826268,30.389083,2013
Motor Vehicle,1,2013-03-22,3,5,22,22:45:00,-97.661363,30.318695,2013
Pedestrian,1,2013-03-23,3,6,7,07:45:00,-97.683733,30.201501,2013
Motor Vehicle,1,2013-04-02,4,2,11,11:38:00,-97.627072,30.292614,2013
Pedestrian,1,2013-04-09,4,2,6,06:04:00,-97.641246,30.203936,2013
Pedestrian,1,2013-04-18,4,4,20,20:35:00,-97.687226,30.359323,2013
Pedestrian,1,2013-04-20,4,6,0,00:50:00,-97.660994,30.302634,2013
Motorcycle,1,2013-04-20,4,6,1,01:31:00,-97.795079,30.447456,2013
Motor Vehicle,1,2013-04-21,4,7,20,20:24:00,-97.8566,30.235513,2013
Pedestrian,1,2013-05-07,5,2,22,22:08:00,-97.720165,30.335683,2013
Pedestrian,1,2013-05-11,5,6,1,01:11:00,-97.648145,30.207487,2013
Motor Vehicle,1,2013-05-24,5,5,16,16:42:00,-97.646081,30.181936,2013
Motorcycle,1,2013-06-13,6,4,1,01:20:00,-97.770106,30.190256,2013
Motor Vehicle,1,2013-06-13,6,4,5,05:33:00,-97.739917,30.330438,2013
Motor Vehicle,1,2013-06-13,6,4,23,23:37:00,-97.806568,30.363974,2013
Motorcycle,1,2013-06-18,6,2,6,06:02:00,-97.737274,30.304103,2013
Pedestrian,1,2013-06-20,6,4,21,21:24:00,-97.728674,30.280882,2013
Pedestrian,1,2013-06-23,6,7,6,06:02:00,-97.815177,30.240938,2013
Pedestrian,1,2013-06-23,6,7,19,19:48:00,-97.696115,30.267367,2013
Bicycle,1,2013-06-18,6,2,12,12:28:00,-97.864764,30.234065,2013
Motor Vehicle,1,2013-06-30,6,7,3,03:27:00,-97.69306,30.321091,2013
Pedestrian,1,2013-06-12,6,3,22,22:55:00,30.231011,-97.734398,2013
Motor Vehicle,1,2013-07-15,7,2,12,12:04:00,30.419,-97.747327,2013
Motor Vehicle,1,2013-07-19,7,5,12,12:34:00,30.28611,-97.664649,2013
Motorcycle,1,2013-07-19,7,5,21,21:59:00,30.164574,-97.830058,2013
Pedestrian,1,2013-07-19,7,5,22,22:48:00,30.243861,-97.735137,2013
Motorcycle,1,2013-07-20,7,6,7,07:25:00,30.348073,-97.712943,2013
Motor Vehicle,1,2013-07-21,7,7,3,03:17:00,30.402273,-97.670028,2013
Motor Vehicle,1,2013-07-25,7,4,7,07:15:00,30.430973,-97.841938,2013
Motor Vehicle,1,2013-08-02,8,5,1,01:02:00,30.40803,-97.675235,2013
Motorcycle,1,2013-08-10,8,6,1,01:19:00,30.218285,-97.690489,2013
Motor Vehicle,1,2013-08-12,8,1,2,02:10:00,30.22426,-97.682802,2013
Motor Vehicle,1,2013-09-01,9,7,3,03:34:00,30.204719,-97.642804,2013
Motor Vehicle,1,2013-09-04,9,3,2,02:15:00,30.441168,-97.666175,2013
Motor Vehicle,1,2013-09-08,9,7,1,01:45:00,30.376348,-97.675979,2013
Motor Vehicle,1,2013-09-10,9,2,13,13:22:00,30.28373,-97.696093,2013
Motor Vehicle,1,2013-09-20,9,5,20,20:37:00,30.185927,-97.816306,2013
Pedestrian,1,2013-09-28,9,6,11,11:08:00,30.204267,-97.777862,2013
Motor Vehicle,1,2013-10-13,10,7,16,16:39:00,30.228687,-97.785726,2013
Motor Vehicle,1,2013-10-20,10,7,4,04:39:00,30.166658,-97.787111,2013
Motor Vehicle,2,2013-10-23,10,3,0,00:52:00,30.409428,-97.712171,2013
Motor Vehicle,1,2013-10-24,10,4,21,21:11:00,30.22016,-97.671929,2013
Motor Vehicle,1,2013-10-25,10,5,22,22:20:00,30.229529,-97.788591,2013
Motor Vehicle,1,2013-10-26,10,6,21,21:45:00,30.336222,-97.80548,2013
Pedestrian,1,2013-10-31,10,4,21,21:16:00,30.315469,-97.663108,2013
Motor Vehicle,1,2013-11-12,11,2,22,22:25:00,30.196626,-97.765377,2013
Motor Vehicle,1,2013-11-24,11,7,2,02:25:00,30.248801,-97.885898,2013
Motor Vehicle,1,2013-11-27,11,3,5,05:53:00,30.279944,-97.645568,2013
Pedestrian,1,2013-11-27,11,3,21,21:58:00,30.284778,-97.660153,2013
Pedestrian,1,2013-11-29,11,5,9,09:44:00,30.337134,-97.766676,2013
Pedestrian,1,2013-12-07,12,6,20,20:17:00,30.225812,-97.768352,2013
Motor Vehicle,2,2013-12-27,12,5,23,23:30:00,30.409724,-97.85101,2013
Motor Vehicle,1,2013-12-30,12,1,15,15:57:00,30.422342,-97.70823,2013
Motor Vehicle,2,2014-01-03,1,5,1,01:53:00,-97.751802,30.21702,2014
Motor Vehicle,1,2014-01-12,1,7,21,21:15:00,-97.738763,30.341347,2014
Motor Vehicle,2,2014-02-04,2,2,14,14:33:00,-97.74472,30.407805,2014
Motor Vehicle,1,2014-02-09,2,7,17,17:51:00,-97.630282,30.330002,2014
Motor Vehicle,1,2014-02-11,2,2,2,02:37:00,-97.713735,30.212157,2014
Motorcycle,1,2014-02-22,2,6,18,18:32:00,-97.665731,30.317548,2014
Pedestrian,1,2014-02-20,2,4,19,19:15:00,-97.659822,30.284725,2014
Pedestrian,1,2014-03-02,3,7,2,02:17:00,-97.759144,30.294215,2014
Motorcycle,1,2014-03-12,3,3,17,17:00:00,-97.684455,30.28556,2014
Motorcycle,1,2014-03-13,3,4,0,00:31:00,-97.73581,30.27022,2014
Pedestrian,1,2014-03-13,3,4,0,00:31:00,-97.73581,30.27022,2014
Bicycle,1,2014-03-13,3,4,0,00:31:00,-97.73581,30.27022,2014
Pedestrian,1,2014-03-13,3,4,0,00:31:00,-97.73581,30.27022,2014
Pedestrian,1,2014-03-24,3,1,21,21:20:00,-97.698085,30.361117,2014
Pedestrian,1,2014-04-02,4,3,7,07:00:00,-97.763019,30.253581,2014
